,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
0,"x: 53.8328
y: 35.8846
z: -1.5015","x: 52.9437
y: 35.8597
z: -1.4856","x: 51.9927
y: 35.8095
z: -1.4697","x: 51.0417
y: 35.7593
z: -1.4538","x: 50.0908
y: 35.7091
z: -1.4378","x: 49.1398
y: 35.6589
z: -1.4219","x: 48.1888
y: 35.6086
z: -1.406","x: 47.2378
y: 35.5584
z: -1.3901","x: 46.2868
y: 35.5082
z: -1.3742","x: 45.3358
y: 35.458
z: -1.3583","x: 44.3611
y: 35.2511
z: -1.3504","x: 43.5795
y: 34.8362
z: -1.3424","x: 43.0659
y: 34.1029
z: -1.3199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"x: -0.725
y: 21.2115
z: -0.3673","x: 0.2497
y: 21.2572
z: -0.3877","x: 1.2243
y: 21.3029
z: -0.408","x: 2.199
y: 21.3487
z: -0.4283","x: 3.1737
y: 21.3944
z: -0.4486","x: 4.1484
y: 21.4401
z: -0.4689","x: 5.123
y: 21.4858
z: -0.4892","x: 6.0977
y: 21.5315
z: -0.5095","x: 7.0724
y: 21.5773
z: -0.5298","x: 8.047
y: 21.623
z: -0.5501","x: 9.0217
y: 21.6687
z: -0.5704","x: 10.4561
y: 21.7387
z: -0.6372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"x: 10.658
y: 18.1557
z: -0.611","x: 12.4777
y: 17.2001
z: -0.5883","x: 13.7967
y: 17.2516
z: -0.606","x: 14.7877
y: 17.3068
z: -0.6237","x: 15.7788
y: 17.3619
z: -0.6414","x: 16.7698
y: 17.417
z: -0.6591","x: 17.7608
y: 17.4721
z: -0.6768","x: 18.7519
y: 17.5272
z: -0.6945","x: 19.7429
y: 17.5823
z: -0.7122","x: 20.734
y: 17.6373
z: -0.7299","x: 21.725
y: 17.6925
z: -0.7476","x: 22.716
y: 17.7475
z: -0.7654","x: 23.7071
y: 17.8027
z: -0.7831","x: 24.6981
y: 17.8578
z: -0.8008","x: 25.6892
y: 17.9129
z: -0.8185","x: 26.6802
y: 17.968
z: -0.8362","x: 27.6712
y: 18.023
z: -0.8539","x: 28.6623
y: 18.0782
z: -0.8716","x: 29.6533
y: 18.1332
z: -0.8893","x: 30.6444
y: 18.1884
z: -0.907","x: 31.6354
y: 18.2435
z: -0.9247","x: 32.6264
y: 18.2986
z: -0.9425","x: 33.6175
y: 18.3537
z: -0.9602","x: 34.6085
y: 18.4087
z: -0.9779","x: 35.5996
y: 18.4639
z: -0.9956","x: 36.5906
y: 18.5189
z: -1.0133","x: 37.5816
y: 18.5741
z: -1.031","x: 38.5727
y: 18.6291
z: -1.0487","x: 39.5637
y: 18.6843
z: -1.0664","x: 40.5548
y: 18.7394
z: -1.0841","x: 41.5458
y: 18.7944
z: -1.1018","x: 42.5369
y: 18.8496
z: -1.1195","x: 43.237
y: 18.9895
z: -1.1519","x: 43.7332
y: 19.2659
z: -1.1681","x: 43.9676
y: 19.75
z: -1.1843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"x: 43.8565
y: 20.9077
z: -1.1934","x: 43.4807
y: 21.4462
z: -1.1859","x: 42.9958
y: 21.7199
z: -1.1785","x: 42.2097
y: 21.7516
z: -1.1636","x: 41.3131
y: 21.7211
z: -1.1339","x: 40.3242
y: 21.6657
z: -1.1164","x: 39.3353
y: 21.6104
z: -1.0989","x: 38.3464
y: 21.555
z: -1.0813","x: 37.3575
y: 21.4996
z: -1.0637","x: 36.3686
y: 21.4442
z: -1.0462","x: 35.3797
y: 21.3888
z: -1.0286","x: 34.3908
y: 21.3335
z: -1.0111","x: 33.4019
y: 21.2781
z: -0.9935","x: 32.413
y: 21.2227
z: -0.976","x: 31.4241
y: 21.1673
z: -0.9584","x: 30.4352
y: 21.1119
z: -0.9409","x: 29.4463
y: 21.0566
z: -0.9233","x: 28.4574
y: 21.0012
z: -0.9058","x: 27.4685
y: 20.9458
z: -0.8882","x: 26.4797
y: 20.8904
z: -0.8707","x: 25.4908
y: 20.835
z: -0.8531","x: 24.5019
y: 20.7796
z: -0.8356","x: 23.513
y: 20.7243
z: -0.818","x: 22.5241
y: 20.6689
z: -0.8005","x: 21.5352
y: 20.6135
z: -0.7829","x: 20.5463
y: 20.5581
z: -0.7654","x: 19.5574
y: 20.5027
z: -0.7478","x: 18.5685
y: 20.4474
z: -0.7303","x: 17.5796
y: 20.392
z: -0.7127","x: 16.5907
y: 20.3366
z: -0.6952","x: 15.6018
y: 20.2812
z: -0.6776","x: 14.6129
y: 20.2258
z: -0.6601","x: 13.624
y: 20.1705
z: -0.6425","x: 12.6351
y: 20.1151
z: -0.625","x: 11.6462
y: 20.0597
z: -0.6074","x: 10.603
y: 19.0983
z: -0.6176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"x: 53.8186
y: 35.9807
z: -1.4856","x: 52.309
y: 35.8794
z: -1.4697","x: 51.356
y: 35.814
z: -1.4538","x: 50.4226
y: 35.7851
z: -1.4378","x: 49.4473
y: 35.722
z: -1.4219","x: 48.4913
y: 35.6954
z: -1.406","x: 47.5312
y: 35.6283
z: -1.3901","x: 46.6347
y: 35.5903
z: -1.3742","x: 45.6229
y: 35.5462
z: -1.3583","x: 44.6393
y: 35.5724
z: -1.3504","x: 43.7826
y: 35.6592
z: -1.3424","x: 42.6751
y: 35.8441
z: -1.3199","x: 41.3401
y: 36.0518
z: -1.308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"x: 44.0259
y: 18.0802
z: -1.1663","x: 44.5857
y: 18.6429
z: -1.1519","x: 45.3501
y: 19.1948
z: -1.1447","x: 46.4529
y: 19.4299
z: -1.1375","x: 47.3955
y: 19.4624
z: -1.1562","x: 48.3382
y: 19.495
z: -1.1748","x: 49.2808
y: 19.5275
z: -1.1934","x: 50.2234
y: 19.5601
z: -1.212","x: 51.166
y: 19.5927
z: -1.2307","x: 52.1086
y: 19.6252
z: -1.2493","x: 53.0513
y: 19.6578
z: -1.2679","x: 53.9939
y: 19.6903
z: -1.2866","x: 54.9438
y: 19.8061
z: -1.3052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"x: 11.3537
y: 6.0812
z: -0.5258","x: 11.5325
y: 5.233
z: -0.4364","x: 11.6942
y: 4.5119
z: -0.4294","x: 11.8893
y: 3.806
z: -0.431","x: 12.1163
y: 3.1125
z: -0.4324","x: 12.4176
y: 2.4433
z: -0.4296","x: 12.8124
y: 1.8203
z: -0.4291","x: 13.3493
y: 1.3174
z: -0.4227","x: 13.9781
y: 0.9379
z: -0.4241","x: 14.6276
y: 0.6224
z: -0.4777","x: 15.6019
y: 0.4281
z: -0.454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"x: 54.9438
y: 19.8061
z: -1.3052","x: 53.989
y: 19.7721
z: -1.2927","x: 53.0343
y: 19.7381
z: -1.2802","x: 52.0795
y: 19.7041
z: -1.2677","x: 51.1248
y: 19.6701
z: -1.2552","x: 50.1701
y: 19.6361
z: -1.2426","x: 49.2153
y: 19.6021
z: -1.2301","x: 48.2606
y: 19.5681
z: -1.2176","x: 47.3058
y: 19.5341
z: -1.2051","x: 46.3511
y: 19.5001
z: -1.1926","x: 45.3964
y: 19.4662
z: -1.1801","x: 44.8325
y: 19.5735
z: -1.1822","x: 44.2572
y: 19.8686
z: -1.1844","x: 43.9249
y: 20.3628
z: -1.1888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"x: 44.86
y: 4.2002
z: -1.0451","x: 42.4266
y: 5.4509
z: -0.966","x: 41.4753
y: 5.3976
z: -0.9638","x: 40.5239
y: 5.3442
z: -0.9687","x: 39.5726
y: 5.2909
z: -0.9345","x: 38.6212
y: 5.2375
z: -0.9218","x: 37.6699
y: 5.1842
z: -0.8913","x: 36.7185
y: 5.1308
z: -0.8924","x: 35.7672
y: 5.0775
z: -0.8798","x: 34.8158
y: 5.0241
z: -0.8601","x: 33.8645
y: 4.9708
z: -0.8438","x: 32.9131
y: 4.9174
z: -0.826","x: 31.9618
y: 4.8641
z: -0.805","x: 31.0104
y: 4.8107
z: -0.8026","x: 30.0591
y: 4.7574
z: -0.762","x: 29.1077
y: 4.704
z: -0.761","x: 28.1564
y: 4.6507
z: -0.7521","x: 27.205
y: 4.5973
z: -0.7383","x: 26.2537
y: 4.544
z: -0.7313","x: 25.3023
y: 4.4906
z: -0.7042","x: 24.351
y: 4.4373
z: -0.6752","x: 23.3996
y: 4.3839
z: -0.6492","x: 22.4483
y: 4.3306
z: -0.632","x: 21.4969
y: 4.2772
z: -0.6249","x: 20.5456
y: 4.2239
z: -0.6072","x: 19.5942
y: 4.1705
z: -0.5819","x: 18.6429
y: 4.1172
z: -0.5681","x: 17.6915
y: 4.0638
z: -0.5448","x: 16.7402
y: 4.0105
z: -0.5261","x: 15.7888
y: 3.9571
z: -0.513","x: 14.8375
y: 3.9038
z: -0.4773","x: 13.9167
y: 3.9653
z: -0.4781","x: 13.0338
y: 4.1847
z: -0.4537","x: 12.0981
y: 4.2842
z: -0.433","x: 11.3345
y: 4.4675
z: -0.4284","x: 10.8297
y: 4.5907
z: -0.4182","x: 10.0465
y: 4.7404
z: -0.4148","x: 9.3203
y: 4.7345
z: -0.4033","x: 8.3708
y: 4.772
z: -0.3766","x: 7.4196
y: 4.7639
z: -0.3574","x: 6.4675
y: 4.7305
z: -0.3448","x: 5.5153
y: 4.6972
z: -0.3284","x: 4.5631
y: 4.6638
z: -0.2998","x: 3.6109
y: 4.6304
z: -0.2856","x: 2.6587
y: 4.597
z: -0.2591","x: 1.7066
y: 4.5621
z: -0.2329","x: 0.7544
y: 4.5262
z: -0.2171","x: -0.1978
y: 4.4902
z: -0.2118","x: -1.1489
y: 4.4394
z: -0.2072","x: -2.099
y: 4.3769
z: -0.2257","x: -3.0491
y: 4.3143
z: -0.2512","x: -3.9992
y: 4.2518
z: -0.2518","x: -4.936
y: 4.1139
z: -0.2525","x: -5.8687
y: 3.9475
z: -0.3003","x: -6.7987
y: 3.7593
z: -0.3014","x: -7.7121
y: 3.514
z: -0.3099","x: -8.6183
y: 3.2329
z: -0.3197","x: -9.4762
y: 2.8523
z: -0.3056","x: -10.3209
y: 2.4337
z: -0.3283","x: -11.1403
y: 1.9561
z: -0.3316","x: -11.9292
y: 1.438
z: -0.3263","x: -12.6775
y: 0.8509
z: -0.3626","x: -13.38
y: 0.217
z: -0.4015","x: -14.0471
y: -0.4554
z: -0.4245","x: -14.6685
y: -1.1717
z: -0.4482","x: -15.1863
y: -1.9613
z: -0.3973","x: -15.6478
y: -2.7944
z: -0.4541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"x: -9.2328
y: -2.8881
z: -0.5329","x: -8.4525
y: -2.379
z: -0.4835","x: -7.6639
y: -1.8886
z: -0.4337","x: -6.8218
y: -1.4926
z: -0.4049","x: -5.9592
y: -1.1672
z: -0.3683","x: -5.048
y: -0.9589
z: -0.3259","x: -4.1318
y: -0.7656
z: -0.2883","x: -3.2031
y: -0.6102
z: -0.2628","x: -2.2742
y: -0.4561
z: -0.2373","x: -1.3362
y: -0.3512
z: -0.2126","x: -0.3972
y: -0.2582
z: -0.2022","x: 0.5424
y: -0.1717
z: -0.1998","x: 1.4826
y: -0.0891
z: -0.2059","x: 2.4229
y: -0.0067
z: -0.2125","x: 3.3631
y: 0.0756
z: -0.2191","x: 4.3049
y: 0.1338
z: -0.2358","x: 5.2477
y: 0.1771
z: -0.2587","x: 6.1906
y: 0.2203
z: -0.2817","x: 7.1334
y: 0.2635
z: -0.3047","x: 8.0762
y: 0.3068
z: -0.3276","x: 9.0191
y: 0.35
z: -0.3506","x: 9.9582
y: 0.3284
z: -0.3639","x: 10.8966
y: 0.2945
z: -0.3754","x: 11.8351
y: 0.2607
z: -0.3868","x: 12.7748
y: 0.2569
z: -0.4004","x: 13.7171
y: 0.314
z: -0.4183","x: 14.6595
y: 0.371
z: -0.4362","x: 15.6019
y: 0.4281
z: -0.454","x: 16.5442
y: 0.4851
z: -0.4719","x: 17.4866
y: 0.5422
z: -0.4898","x: 18.429
y: 0.5993
z: -0.5077","x: 19.3713
y: 0.6563
z: -0.5255","x: 20.3137
y: 0.7134
z: -0.5434","x: 21.2561
y: 0.7704
z: -0.5613","x: 22.1984
y: 0.8275
z: -0.5791","x: 23.1408
y: 0.8846
z: -0.597","x: 24.0832
y: 0.9416
z: -0.6149","x: 25.0255
y: 0.9987
z: -0.6328","x: 25.9679
y: 1.0557
z: -0.6506","x: 26.9102
y: 1.1128
z: -0.6685","x: 27.8526
y: 1.1699
z: -0.6864","x: 28.795
y: 1.2269
z: -0.7042","x: 29.7373
y: 1.284
z: -0.7221","x: 30.6797
y: 1.341
z: -0.74","x: 31.6221
y: 1.3981
z: -0.7578","x: 32.5644
y: 1.4552
z: -0.7757","x: 33.5068
y: 1.5122
z: -0.7936","x: 34.4492
y: 1.5693
z: -0.8115","x: 35.3915
y: 1.6263
z: -0.8293","x: 36.3339
y: 1.6834
z: -0.8472","x: 37.2763
y: 1.7405
z: -0.8651","x: 38.2186
y: 1.7975
z: -0.8829","x: 39.161
y: 1.8546
z: -0.9008","x: 40.1033
y: 1.9116
z: -0.9187","x: 41.0457
y: 1.9687
z: -0.9366","x: 41.9291
y: 2.0782
z: -0.954","x: 42.9795
y: 2.1719
z: -0.9676","x: 44.0383
y: 2.2236
z: -0.9813","x: 44.7225
y: 2.6255
z: -0.9949","x: 44.8694
y: 3.3045
z: -1.0086","x: 44.86
y: 4.2002
z: -1.0451","x: 44.7725
y: 5.2403
z: -1.0359","x: 44.76
y: 5.8275
z: -1.0487","x: 44.7036
y: 6.7701
z: -1.0578","x: 44.6471
y: 7.7126
z: -1.0668","x: 44.5906
y: 8.6551
z: -1.0759","x: 44.5342
y: 9.5976
z: -1.0849","x: 44.4777
y: 10.5401
z: -1.0939","x: 44.4212
y: 11.4826
z: -1.103","x: 44.3648
y: 12.4251
z: -1.112","x: 44.3083
y: 13.3676
z: -1.1211","x: 44.2518
y: 14.3101
z: -1.1301","x: 44.1953
y: 15.2527
z: -1.1391","x: 44.1389
y: 16.1952
z: -1.1482","x: 44.0824
y: 17.1377
z: -1.1572","x: 44.0259
y: 18.0802
z: -1.1663","x: 43.9777
y: 18.8095
z: -1.1753","x: 43.9676
y: 19.75
z: -1.1843","x: 43.9249
y: 20.3628
z: -1.1888","x: 43.8565
y: 20.9077
z: -1.1934","x: 43.8
y: 21.8502
z: -1.2024","x: 43.7436
y: 22.7927
z: -1.2115","x: 43.6871
y: 23.7353
z: -1.2205","x: 43.6306
y: 24.6778
z: -1.2295","x: 43.5742
y: 25.6203
z: -1.2386","x: 43.5177
y: 26.5628
z: -1.2476","x: 43.4612
y: 27.5053
z: -1.2566","x: 43.4048
y: 28.4478
z: -1.2657","x: 43.3483
y: 29.3903
z: -1.2747","x: 43.2918
y: 30.3328
z: -1.2838","x: 43.2353
y: 31.2753
z: -1.2928","x: 43.1789
y: 32.2179
z: -1.3018","x: 43.1224
y: 33.1604
z: -1.3109","x: 43.0659
y: 34.1029
z: -1.3199","x: 42.937
y: 34.9651
z: -1.3267","x: 42.5478
y: 35.3938
z: -1.3213","x: 41.9914
y: 35.7838
z: -1.3158","x: 41.3401
y: 36.0518
z: -1.308","x: 40.3302
y: 36.0912
z: -1.2906","x: 39.3871
y: 36.0473
z: -1.2732","x: 38.444
y: 36.0034
z: -1.2558","x: 37.501
y: 35.9595
z: -1.2383","x: 36.5579
y: 35.9155
z: -1.2209","x: 35.6148
y: 35.8716
z: -1.2035","x: 34.6717
y: 35.8277
z: -1.1861","x: 33.7286
y: 35.7838
z: -1.1687","x: 32.7856
y: 35.7398
z: -1.1512","x: 31.8425
y: 35.6959
z: -1.1338","x: 30.8994
y: 35.652
z: -1.1164","x: 29.9563
y: 35.6081
z: -1.099","x: 29.0133
y: 35.5642
z: -1.0815","x: 28.0702
y: 35.5202
z: -1.0641","x: 27.1271
y: 35.4763
z: -1.0467","x: 26.184
y: 35.4324
z: -1.0293","x: 25.241
y: 35.3885
z: -1.0119","x: 24.2979
y: 35.3446
z: -0.9944","x: 23.3548
y: 35.3006
z: -0.977","x: 22.4117
y: 35.2567
z: -0.9596","x: 21.4687
y: 35.2128
z: -0.9422","x: 20.5256
y: 35.1689
z: -0.9247","x: 19.5825
y: 35.125
z: -0.9073","x: 18.6394
y: 35.081
z: -0.8899","x: 17.6964
y: 35.0371
z: -0.8725","x: 16.7533
y: 34.9932
z: -0.8551","x: 15.8102
y: 34.9493
z: -0.8376","x: 14.8671
y: 34.9054
z: -0.8202","x: 13.9241
y: 34.8614
z: -0.8028","x: 12.981
y: 34.8175
z: -0.7854","x: 12.0379
y: 34.7736
z: -0.7679","x: 11.0948
y: 34.7297
z: -0.7505","x: 10.1517
y: 34.6857
z: -0.7331","x: 9.7232
y: 34.1804
z: -0.7224","x: 9.7782
y: 33.2378
z: -0.7159","x: 9.8332
y: 32.2951
z: -0.7093","x: 9.8882
y: 31.3525
z: -0.7028","x: 9.9432
y: 30.4099
z: -0.6962","x: 9.9981
y: 29.4673
z: -0.6897","x: 10.0531
y: 28.5246
z: -0.6831","x: 10.1081
y: 27.582
z: -0.6766","x: 10.1631
y: 26.6394
z: -0.67","x: 10.2181
y: 25.6967
z: -0.6635","x: 10.2731
y: 24.7541
z: -0.6569","x: 10.3281
y: 23.8115
z: -0.6504","x: 10.3831
y: 22.8688
z: -0.6438","x: 10.4561
y: 21.7387
z: -0.6372","x: 10.493
y: 20.9836
z: -0.6307","x: 10.548
y: 20.041
z: -0.6241","x: 10.603
y: 19.0983
z: -0.6176","x: 10.658
y: 18.1557
z: -0.611","x: 10.713
y: 17.2131
z: -0.6045","x: 10.768
y: 16.2704
z: -0.5979","x: 10.823
y: 15.3278
z: -0.5914","x: 10.878
y: 14.3852
z: -0.5848","x: 10.9329
y: 13.4425
z: -0.5783","x: 10.9879
y: 12.4999
z: -0.5717","x: 11.0429
y: 11.5573
z: -0.5652","x: 11.0979
y: 10.6147
z: -0.5586","x: 11.1529
y: 9.672
z: -0.5521","x: 11.2079
y: 8.7294
z: -0.5455","x: 11.2629
y: 7.7868
z: -0.539","x: 11.3179
y: 6.8441
z: -0.5324","x: 11.3537
y: 6.0812
z: -0.5258"
